,respondent_id,city_of_residence,citizenship,data_id,reason_name,amount,currency,transaction_date,account,transaction_id,surveyor,tool,timeline,transaction_type,payment_type,date_created,date_last_updated,edit_count,description,file
35,254525,Mutare,Zimbabwe,IN00035006,Mdawini Tuckshop,1200.0,ZWL,2020-06-09,,,,,Full payment,,Full payment,2020-06-14,2020-07-23,1,,income
36,254525,Mutare,Zimbabwe,IN00035007,Mdawini Tuckshop,980.0,ZWL,2020-06-10,,,,,Full payment,,Full payment,2020-06-14,2020-07-23,1,,income
37,254525,Mutare,Zimbabwe,IN00035008,Mdawini Tuckshop,1000.0,ZWL,2020-06-11,,,,,Full payment,,Full payment,2020-06-14,2020-07-23,1,,income
38,254525,Mutare,Zimbabwe,IN00035009,Mdawini Tuckshop,1020.0,ZWL,2020-06-12,,,,,Full payment,,Full payment,2020-06-14,2020-07-23,2,,income
39,254525,Mutare,Zimbabwe,IN00035010,Mdawini Tuckshop,1050.0,ZWL,2020-06-13,,,,,Full payment,,Full payment,2020-06-14,2020-07-23,1,,income
40,254525,Mutare,Zimbabwe,IN00036353,Mdawini Tuckshop,1960.0,ZWL,2020-06-14,,,,,Full payment,,Full payment,2020-06-22,2020-07-23,1,,income
41,254525,Mutare,Zimbabwe,IN00036354,Mdawini Tuckshop,1968.0,ZWL,2020-06-15,,,,,Full payment,,Full payment,2020-06-22,2020-07-23,1,,income
42,254525,Mutare,Zimbabwe,IN00036355,Mdawini Tuckshop,1800.0,ZWL,2020-06-16,,,,,Full payment,,Full payment,2020-06-22,2020-07-23,1,,income
43,254525,Mutare,Zimbabwe,IN00036356,Mdawini Tuckshop,1500.0,ZWL,2020-06-17,,,,,Full payment,,Full payment,2020-06-22,2020-07-23,1,,income
44,254525,Mutare,Zimbabwe,IN00036357,Mdawini Tuckshop,1978.0,ZWL,2020-06-18,,,,,Full payment,,Full payment,2020-06-22,2020-07-23,1,,income
